iter.	A1	A2	A3	A4	I1	I2	I3	I4	I5	I6	I7	I8	R1	R2	R3	R4	T
0	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
1	1.00000	0	0	0	0.56569	0.56569	0	0	0	0	0	0	0	0	0	0	0
2	1.00000	0	0	0	0.74307	0.74307	0	0	0	0	0	0	0.17161	0.17161	0	0	0.34321
3	1.00000	0	0	0	0.89118	0.89118	0.11513	0.11513	0.05756	0.05756	0.05756	0.05756	0.30527	0.30527	0	0	0.61054
4	1.00000	0.05833	0.02916	0.02916	0.98848	0.98848	0.25257	0.25257	0.12628	0.12628	0.12628	0.12628	0.42236	0.42236	0.02916	0.02916	0.90305
5	1.00000	0.15244	0.07622	0.07622	1.07077	1.07077	0.40766	0.40766	0.21676	0.21676	0.21676	0.21676	0.52039	0.52039	0.07622	0.07622	1.19323
6	1.00000	0.26595	0.13898	0.13898	1.14036	1.14036	0.56596	0.56596	0.32199	0.32199	0.32199	0.32199	0.60491	0.60491	0.13898	0.13898	1.48779
7	1.00000	0.38412	0.21253	0.21253	1.20241	1.20241	0.72046	0.72046	0.43831	0.43831	0.43831	0.43831	0.67839	0.67839	0.21253	0.21253	1.78186
8	1.00000	0.49729	0.29252	0.29252	1.25825	1.25825	0.86486	0.86486	0.56035	0.56035	0.56035	0.56035	0.74217	0.74217	0.29252	0.29252	2.06938
9	1.00000	0.59945	0.37467	0.37467	1.30835	1.30835	0.99491	0.99491	0.68288	0.68288	0.68288	0.68288	0.79673	0.79673	0.37467	0.37467	2.34280
10	1.00000	0.68754	0.45526	0.45526	1.35261	1.35261	1.10810	1.10810	0.80115	0.80115	0.80115	0.80115	0.84242	0.84242	0.45526	0.45526	2.59535

