
iter.	A1	A2	A3	A4	I1	I2	I3	I4	I5	I6	I7	I8	R1	R2	R3	R4	T
0	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
1	1.00000	0	0	0	0.56569	0.56569	0	0	0	0	0	0	0	0	0	0	0
2	1.52256	0	0	0	1.13138	1.13138	0	0	0	0	0	0	0.26128	0.26128	0	0	0.52256
3	2.56768	0	0	0	2.28827	2.28827	0.29560	0.29560	0.14780	0.14780	0.14780	0.14780	0.78384	0.78384	0	0	1.56768
4	4.68149	0.27306	0.13653	0.13653	4.62758	4.62758	1.18241	1.18241	0.59121	0.59121	0.59121	0.59121	1.97728	1.97728	0.13653	0.13653	4.22762
5	8.95627	1.36532	0.68267	0.68267	9.59010	9.59010	3.65115	3.65115	1.94143	1.94143	1.94143	1.94143	4.66080	4.66080	0.68267	0.68267	10.68693
6	17.81522	4.73811	2.47609	2.47609	20.31580	20.31580	10.08276	10.08276	5.73650	5.73650	5.73650	5.73650	10.77667	10.77667	2.47609	2.47609	26.50551
7	36.58215	14.05216	7.77524	7.77524	43.98671	43.98671	26.35614	26.35614	16.03477	16.03477	16.03477	16.03477	24.81716	24.81716	7.77524	7.77524	65.18480
8	77.21533	38.39892	22.58753	22.58753	97.15645	97.15645	66.78099	66.78099	43.26850	43.26850	43.26850	43.26850	57.30713	57.30713	22.58753	22.58753	159.78931
9	166.96461	100.08856	62.55726	62.55726	218.44909	218.44909	166.11575	166.11575	114.01861	114.01861	114.01861	114.01861	133.02659	133.02659	62.55726	62.55726	391.16769
10	368.75924	253.53972	167.88314	167.88314	498.78867	498.78867	408.62452	408.62452	295.43300	295.43300	295.43300	295.43300	310.64948	310.64948	167.88314	167.88314	957.06523

