iter.	A1	A2	A3	A4	I1	I2	I3	I4	I5	I6	I7	I8	R1	R2	R3	R4	T
0	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
1	0.46918	0	0	0	0.26541	0.26541	0	0	0	0	0	0	0	0	0	0	0
2	0.31520	0	0	0	0.23422	0.23422	0	0	0	0	0	0	0.05409	0.05409	0	0	0.10818
3	0.22402	0	0	0	0.19964	0.19964	0.02579	0.02579	0.01289	0.01289	0.01289	0.01289	0.06839	0.06839	0	0	0.13677
4	0.16921	0.00987	0.00493	0.00493	0.16726	0.16726	0.04274	0.04274	0.02137	0.02137	0.02137	0.02137	0.07147	0.07147	0.00493	0.00493	0.15280
5	0.13306	0.02029	0.01014	0.01014	0.14248	0.14248	0.05425	0.05425	0.02884	0.02884	0.02884	0.02884	0.06925	0.06925	0.01014	0.01014	0.15878
6	0.10846	0.02885	0.01507	0.01507	0.12368	0.12368	0.06139	0.06139	0.03492	0.03492	0.03492	0.03492	0.06561	0.06561	0.01507	0.01507	0.16136
7	0.09114	0.03501	0.01937	0.01937	0.10959	0.10959	0.06567	0.06567	0.03995	0.03995	0.03995	0.03995	0.06183	0.06183	0.01937	0.01937	0.16240
8	0.07868	0.03913	0.02302	0.02302	0.09901	0.09901	0.06805	0.06805	0.04409	0.04409	0.04409	0.04409	0.05840	0.05840	0.02302	0.02302	0.16283
9	0.06958	0.04171	0.02607	0.02607	0.09103	0.09103	0.06922	0.06922	0.04751	0.04751	0.04751	0.04751	0.05544	0.05544	0.02607	0.02607	0.16300
10	0.06284	0.04320	0.02861	0.02861	0.08499	0.08499	0.06963	0.06963	0.05034	0.05034	0.05034	0.05034	0.05293	0.05293	0.02861	0.02861	0.16307

